,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,udp_length,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted,tls_header_encrypted
69,1740741123.732361046,86,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,50,,,,,42,,,True,
70,1740741123.733493088,175,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,139,,,,,76,,,True,
71,1740741123.733563312,109,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,73,,,,,65,,,True,
72,1740741123.734264888,420,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,384,,,,,376,,,True,
73,1740741123.735242233,173,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,137,,,,,129,,,True,
74,1740741123.735327706,75,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,39,,,,,31,,,True,
75,1740741123.737398267,549,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,513,,,,,505,,,True,
76,1740741123.737398333,168,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,132,,,,,124,,,True,
77,1740741123.737398352,70,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,34,,,,,26,,,True,
78,1740741123.737627751,75,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,39,,,,,31,,,True,
79,1740741123.741666246,75,142.250.75.174,192.168.80.128,4,17,128,QUIC,443,36166,39,,,,,31,,,True,
80,1740741123.741729041,75,192.168.80.128,142.250.75.174,4,17,64,QUIC,36166,443,39,,,,,31,,,True,
81,1740741123.765281085,75,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,39,,,,,31,,,True,
82,1740741123.765410120,75,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,39,,,,,31,,,True,
83,1740741123.770502901,623,142.250.75.174,192.168.80.128,4,17,128,QUIC,443,36166,587,,,,,579,,,True,
