,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,udp_length,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,tls_header_encrypted
79,1740822963.469663672,238,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,202,194,,,True,,,,,
80,1740822963.470534642,68,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,32,24,,,True,,,,,
81,1740822963.498259513,72,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,36,28,,,True,,,,,
82,1740822963.523670590,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
83,1740822963.571002519,1290,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1254,1246,,,True,,,,,
84,1740822963.571002661,177,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,141,133,,,True,,,,,
85,1740822963.571002679,69,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,33,25,,,True,,,,,
86,1740822963.571479895,79,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,43,35,,,True,,,,,
87,1740822963.572328031,272,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,236,228,,,True,,,,,
88,1740822963.572627869,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
89,1740822963.599756572,68,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,32,24,,,True,,,,,
90,1740822963.792377273,240,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,204,196,,,True,,,,,
91,1740822963.821525028,72,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,36,28,,,True,,,,,
92,1740822963.847057636,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
93,1740822963.894637216,1106,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1070,1062,,,True,,,,,
94,1740822963.895324946,286,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,250,242,,,True,,,,,
95,1740822963.896432264,79,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,43,35,,,True,,,,,
96,1740822963.925929404,68,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,32,24,,,True,,,,,
97,1740822964.142767701,241,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,205,197,,,True,,,,,
98,1740822964.172842171,72,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,36,28,,,True,,,,,
99,1740822964.198283219,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
100,1740822964.239596004,1129,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1093,1085,,,True,,,,,
101,1740822964.239729567,69,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,33,25,,,True,,,,,
102,1740822964.239855727,79,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,43,35,,,True,,,,,
103,1740822964.239937617,296,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,260,252,,,True,,,,,
104,1740822964.265755512,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
105,1740822964.268629599,68,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,32,24,,,True,,,,,
106,1740822964.989261813,243,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,207,199,,,True,,,,,
107,1740822965.017716290,72,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,36,28,,,True,,,,,
108,1740822965.043136641,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
109,1740822965.100047956,892,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,856,848,,,True,,,,,
110,1740822965.100048141,241,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,205,197,,,True,,,,,
111,1740822965.100447714,79,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,43,35,,,True,,,,,
112,1740822965.130410879,68,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,32,24,,,True,,,,,
113,1740822965.181587935,243,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,207,199,,,True,,,,,
114,1740822965.210883273,72,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,36,28,,,True,,,,,
115,1740822965.236198084,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
116,1740822965.281277848,876,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,840,832,,,True,,,,,
117,1740822965.281379076,249,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,213,205,,,True,,,,,
118,1740822965.281554751,79,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,43,35,,,True,,,,,
119,1740822965.289994095,818,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,782,774,,,True,,,,,
120,1740822965.294434732,71,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,35,27,,,True,,,,,
121,1740822965.320253737,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
122,1740822965.380618764,244,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,208,200,,,True,,,,,
123,1740822965.397087960,317,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,281,273,,,True,,,,,
124,1740822965.413213946,1290,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1254,1246,,,True,,,,,
125,1740822965.413519036,79,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,43,35,,,True,,,,,
126,1740822965.413784572,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
127,1740822965.413784608,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
128,1740822965.413784627,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
129,1740822965.413784645,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
130,1740822965.413784662,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
131,1740822965.414575571,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
132,1740822965.414652904,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
133,1740822965.414700481,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
134,1740822965.414786556,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
135,1740822965.414884132,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
136,1740822965.414884238,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
137,1740822965.414954636,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
138,1740822965.415010681,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
139,1740822965.415563820,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
140,1740822965.415599577,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
141,1740822965.415599599,1288,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1252,1244,,,True,,,,,
142,1740822965.415663730,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
143,1740822965.415728668,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
144,1740822965.416968493,1289,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1253,1245,,,True,,,,,
145,1740822965.416968543,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
146,1740822965.417061402,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
147,1740822965.418258714,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
148,1740822965.418258795,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
149,1740822965.418258813,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
150,1740822965.418258831,702,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,666,658,,,True,,,,,
151,1740822965.418340453,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
152,1740822965.418414415,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
153,1740822965.483715331,877,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,841,833,,,True,,,,,
154,1740822965.483715554,285,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,249,241,,,True,,,,,
155,1740822965.484111099,80,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,44,36,,,True,,,,,
156,1740822965.513335781,69,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,33,25,,,True,,,,,
157,1740822965.549927284,245,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,209,201,,,True,,,,,
158,1740822965.580204780,73,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,37,29,,,True,,,,,
159,1740822965.605615443,77,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,41,33,,,True,,,,,
160,1740822965.617437382,84,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,48,40,,,True,,,,,
161,1740822965.620554058,73,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,37,29,,,True,,,,,
162,1740822965.623540962,1287,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1251,1243,,,True,,,,,
163,1740822965.624336645,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
164,1740822965.624581412,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
165,1740822965.624581525,92,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,56,48,,,True,,,,,
166,1740822965.625518341,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
167,1740822965.629259566,1287,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1251,1243,,,True,,,,,
168,1740822965.629260300,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
169,1740822965.629260316,688,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,652,644,,,True,,,,,
170,1740822965.629699017,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
171,1740822965.631531403,1287,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1251,1243,,,True,,,,,
172,1740822965.631531718,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
173,1740822965.631877227,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
174,1740822965.632481403,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
175,1740822965.632481448,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,,,True,,,,,
176,1740822965.632481467,886,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,850,842,,,True,,,,,
177,1740822965.632481487,177,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,141,133,,,True,,,,,
178,1740822965.632556417,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
179,1740822965.632618732,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
180,1740822965.635364936,444,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,408,400,,,True,,,,,
181,1740822965.637770438,690,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,654,646,,,True,,,,,
182,1740822965.637770480,99,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,63,55,,,True,,,,,
183,1740822965.637885236,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
184,1740822965.643904505,1287,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1251,1243,,,True,,,,,
185,1740822965.643904527,1265,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1229,1221,,,True,,,,,
186,1740822965.644275452,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
187,1740822965.644779277,1294,192.168.80.128,142.250.75.98,4,17,64,QUIC,59075,443,1258,1250,1,PING,False,,,,,
