,timestamp,packet_length,four_tuple
257,1741009001.574550709,56,7069906953976781980
258,1741009001.574560389,56,-3991552267735271934
259,1741009001.574573381,56,9211682796335027697
260,1741009001.574587076,56,-2901632430478974531
261,1741009001.574594892,56,-5735823434900624430
262,1741009001.574602640,56,528672362596819742
263,1741009001.574610256,56,-3737064982493350200
264,1741009001.574618594,56,796731254632852241
265,1741009001.574626421,56,6454818195725599707
266,1741009001.574634488,56,3828396816401534059
267,1741009001.574642287,56,8561755317522273895
268,1741009001.574729536,56,6659800799090733276
269,1741009001.574811624,56,-7131881116044255766
270,1741009001.574830815,56,7877199628865828656
271,1741009001.589541891,76,496675423736726924
272,1741009001.596119371,62,6232952472861738344
273,1741009001.596135677,56,496675423736726924
274,1741009001.596394928,1819,496675423736726924
275,1741009001.596648565,62,6232952472861738344
276,1741009001.596648653,62,6232952472861738344
277,1741009001.661772636,5808,6232952472861738344
278,1741009001.661795696,56,496675423736726924
279,1741009001.663875434,130,496675423736726924
280,1741009001.664080715,62,6232952472861738344
281,1741009001.664112918,148,496675423736726924
282,1741009001.664259221,962,496675423736726924
283,1741009001.664309058,7327,496675423736726924
284,1741009001.664361303,62,6232952472861738344
285,1741009001.664361327,62,6232952472861738344
286,1741009001.664414065,62,6232952472861738344
287,1741009001.664539660,62,6232952472861738344
288,1741009001.664606623,62,6232952472861738344
289,1741009001.664606646,62,6232952472861738344
290,1741009001.664606661,62,6232952472861738344
291,1741009001.669924515,1028,6232952472861738344
292,1741009001.670006579,87,496675423736726924
293,1741009001.670177810,62,6232952472861738344
294,1741009001.670978444,87,6232952472861738344
295,1741009001.711592654,56,496675423736726924
296,1741009001.737736759,2109,6232952472861738344
297,1741009001.737758057,56,496675423736726924
298,1741009001.739844159,126,6232952472861738344
299,1741009001.739855715,56,496675423736726924
300,1741009001.740220525,95,496675423736726924
301,1741009001.740630010,62,6232952472861738344
302,1741009001.745510595,197,-123035925147107103
303,1741009001.745717275,62,2340247537475360807
304,1741009001.747596484,91,-123035925147107103
305,1741009001.747824524,62,2340247537475360807
306,1741009001.754856892,76,7993902683877563725
307,1741009001.762248362,62,-1110360339209479830
308,1741009001.762282720,56,7993902683877563725
309,1741009001.763158946,414,7993902683877563725
310,1741009001.763466659,62,-1110360339209479830
311,1741009001.774945292,2754,-1110360339209479830
312,1741009001.774982771,56,7993902683877563725
313,1741009001.816070697,1516,2340247537475360807
314,1741009001.817299727,1516,2340247537475360807
315,1741009001.817314054,56,-123035925147107103
316,1741009001.820515420,2976,2340247537475360807
317,1741009001.820532901,56,-123035925147107103
318,1741009001.822067679,2976,2340247537475360807
319,1741009001.822083398,56,-123035925147107103
320,1741009001.825404479,2976,2340247537475360807
321,1741009001.825419779,56,-123035925147107103
322,1741009001.828350041,2976,2340247537475360807
323,1741009001.828368810,56,-123035925147107103
324,1741009001.834026080,4436,2340247537475360807
325,1741009001.834049167,56,-123035925147107103
326,1741009001.834669833,1516,2340247537475360807
327,1741009001.845065467,6062,2340247537475360807
328,1741009001.845090136,56,-123035925147107103
329,1741009001.877277239,1294,-8228665127727967348
330,1741009001.877398642,1294,-8228665127727967348
331,1741009001.877611291,124,496675423736726924
332,1741009001.877670923,1457,496675423736726924
333,1741009001.877816978,62,6232952472861738344
334,1741009001.877817156,62,6232952472861738344
335,1741009001.885273346,84,-7572687041752472837
336,1741009001.886533899,1294,-7572687041752472837
337,1741009001.887882214,1294,-7572687041752472837
338,1741009001.889351208,1294,-7572687041752472837
339,1741009001.891762623,1294,-8228665127727967348
340,1741009001.900960518,81,-8228665127727967348
341,1741009001.922241553,81,-8228665127727967348
342,1741009001.938460021,1294,-7572687041752472837
343,1741009001.938460229,1294,-7572687041752472837
344,1741009001.938460249,1294,-7572687041752472837
345,1741009001.938460267,218,-7572687041752472837
346,1741009001.938460287,86,-7572687041752472837
347,1741009001.940806963,83,-8228665127727967348
348,1741009001.941172346,130,6232952472861738344
349,1741009001.941282198,209,-8228665127727967348
350,1741009001.942329309,535,6232952472861738344
351,1741009001.944812020,1000,-7572687041752472837
352,1741009001.944812094,181,-7572687041752472837
353,1741009001.949139573,56,496675423736726924
354,1741009001.949437183,95,496675423736726924
355,1741009001.949558537,62,6232952472861738344
356,1741009001.952565775,77,-8228665127727967348
357,1741009001.952671373,77,-8228665127727967348
358,1741009001.973131127,68,-7572687041752472837
359,1741009002.004147184,1290,6882569979871226003
360,1741009002.004362962,759,6882569979871226003
361,1741009002.009343674,72,-4734326275845628094
362,1741009002.034676083,76,6882569979871226003
363,1741009002.088134117,108,-4734326275845628094
364,1741009002.114284943,80,6882569979871226003
365,1741009002.145181989,69,-4734326275845628094
366,1741009002.662484697,56,7261090230136155607
367,1741009002.790573705,56,-5160613048183399684
368,1741009003.008394782,267,-123035925147107103
369,1741009003.008646206,62,2340247537475360807
370,1741009003.078737680,1516,2340247537475360807
371,1741009003.078821912,1065,2340247537475360807
372,1741009003.078831743,56,-123035925147107103
373,1741009003.270139192,169,-123035925147107103
374,1741009003.270560202,62,2340247537475360807
375,1741009003.287948946,76,-8605284902014129132
376,1741009003.341320859,2976,2340247537475360807
377,1741009003.341355368,56,-123035925147107103
378,1741009003.342407113,2976,2340247537475360807
379,1741009003.342427400,56,-123035925147107103
380,1741009003.344533426,2976,2340247537475360807
381,1741009003.344544815,56,-123035925147107103
382,1741009003.348755907,2976,2340247537475360807
383,1741009003.348787665,56,-123035925147107103
384,1741009003.350497755,2976,2340247537475360807
385,1741009003.350510702,56,-123035925147107103
386,1741009003.355296695,2976,2340247537475360807
387,1741009003.355316069,56,-123035925147107103
388,1741009003.363917087,3510,2340247537475360807
389,1741009003.363917351,62,4748270087580919998
390,1741009003.363994293,56,-123035925147107103
391,1741009003.364036132,56,-8605284902014129132
392,1741009003.365255592,1961,-8605284902014129132
393,1741009003.365671598,62,4748270087580919998
394,1741009003.365671687,62,4748270087580919998
395,1741009003.393348766,201,5478235340581571641
396,1741009003.393687671,62,-6265249925122769689
397,1741009003.394705316,179,5478235340581571641
398,1741009003.394820988,375,-123035925147107103
399,1741009003.394874654,62,-6265249925122769689
400,1741009003.394913949,62,2340247537475360807
401,1741009003.462206952,2976,-6265249925122769689
402,1741009003.462241126,56,5478235340581571641
403,1741009003.463417267,2976,-6265249925122769689
404,1741009003.463438210,56,5478235340581571641
405,1741009003.464417402,2976,2340247537475360807
406,1741009003.464433796,56,-123035925147107103
407,1741009003.465942160,2976,-6265249925122769689
408,1741009003.465942201,2976,2340247537475360807
409,1741009003.465963761,56,5478235340581571641
410,1741009003.465980077,56,-123035925147107103
411,1741009003.467198727,1516,-6265249925122769689
412,1741009003.467219442,56,5478235340581571641
413,1741009003.468611591,1516,-6265249925122769689
414,1741009003.468611641,2976,2340247537475360807
415,1741009003.468631894,56,5478235340581571641
416,1741009003.468646256,56,-123035925147107103
417,1741009003.470021093,2976,-6265249925122769689
418,1741009003.470037676,56,5478235340581571641
419,1741009003.472165353,2976,2340247537475360807
420,1741009003.472165445,2976,-6265249925122769689
421,1741009003.472194409,56,-123035925147107103
422,1741009003.472213536,56,5478235340581571641
423,1741009003.474664743,2976,-6265249925122769689
424,1741009003.474664833,2976,2340247537475360807
425,1741009003.474678773,56,5478235340581571641
426,1741009003.474701678,56,-123035925147107103
427,1741009003.476856704,2976,-6265249925122769689
428,1741009003.476866972,56,5478235340581571641
429,1741009003.477939365,2976,2340247537475360807
430,1741009003.477949781,56,-123035925147107103
431,1741009003.481273674,2976,-6265249925122769689
432,1741009003.481273871,2976,2340247537475360807
433,1741009003.481298961,56,5478235340581571641
434,1741009003.481324973,56,-123035925147107103
435,1741009003.481780687,2976,-6265249925122769689
436,1741009003.481790070,56,5478235340581571641
437,1741009003.483832592,1718,2340247537475360807
438,1741009003.483832710,2976,-6265249925122769689
439,1741009003.483844490,56,-123035925147107103
440,1741009003.483861535,56,5478235340581571641
441,1741009003.486240490,2976,-6265249925122769689
442,1741009003.486250351,56,5478235340581571641
443,1741009003.488982143,2976,-6265249925122769689
444,1741009003.489000197,56,5478235340581571641
445,1741009003.490402006,2976,-6265249925122769689
446,1741009003.490435903,56,5478235340581571641
447,1741009003.492856114,2141,-6265249925122769689
448,1741009003.492869822,56,5478235340581571641
449,1741009003.498560370,421,-123035925147107103
450,1741009003.498785552,62,2340247537475360807
451,1741009003.503569926,91,-123035925147107103
452,1741009003.503931137,62,2340247537475360807
453,1741009003.505842934,202,-123035925147107103
454,1741009003.505946550,91,-123035925147107103
455,1741009003.506017903,222,-123035925147107103
456,1741009003.506059219,62,2340247537475360807
457,1741009003.506098457,62,2340247537475360807
458,1741009003.506098482,62,2340247537475360807
459,1741009003.509123389,91,-123035925147107103
460,1741009003.509346584,62,2340247537475360807
461,1741009003.513075507,3927,4748270087580919998
462,1741009003.513112621,56,-8605284902014129132
463,1741009003.514621989,120,-8605284902014129132
464,1741009003.514913475,62,4748270087580919998
465,1741009003.514997491,148,-8605284902014129132
466,1741009003.515151485,62,4748270087580919998
467,1741009003.531969247,5896,-6265249925122769689
468,1741009003.531987671,56,5478235340581571641
469,1741009003.533142929,2976,-6265249925122769689
470,1741009003.533154345,56,5478235340581571641
471,1741009003.535371391,1516,-6265249925122769689
472,1741009003.535382976,56,5478235340581571641
473,1741009003.535434518,1516,-6265249925122769689
474,1741009003.535436961,56,5478235340581571641
475,1741009003.543182529,8816,-6265249925122769689
476,1741009003.543203006,56,5478235340581571641
477,1741009003.544078926,1516,-6265249925122769689
478,1741009003.544089408,56,5478235340581571641
479,1741009003.545361993,1516,-6265249925122769689
480,1741009003.545374303,56,5478235340581571641
481,1741009003.547942967,2976,-6265249925122769689
482,1741009003.547959402,56,5478235340581571641
483,1741009003.549179018,2518,-6265249925122769689
484,1741009003.549186629,56,5478235340581571641
485,1741009003.556105874,175,-123035925147107103
486,1741009003.556317786,62,2340247537475360807
487,1741009003.556382546,91,-123035925147107103
488,1741009003.556486534,172,-123035925147107103
489,1741009003.556557750,62,2340247537475360807
490,1741009003.556623750,62,2340247537475360807
491,1741009003.559809271,91,-123035925147107103
492,1741009003.559961643,62,2340247537475360807
493,1741009003.570938565,1023,2340247537475360807
494,1741009003.583628576,327,4748270087580919998
495,1741009003.585030616,327,4748270087580919998
496,1741009003.585489301,56,-8605284902014129132
497,1741009003.611579714,56,-123035925147107103
498,1741009003.655549921,108,4748270087580919998
499,1741009003.655790706,87,-8605284902014129132
500,1741009003.656182453,62,4748270087580919998
501,1741009004.489950337,182,-123035925147107103
502,1741009004.490952739,62,2340247537475360807
503,1741009004.560336923,2324,2340247537475360807
504,1741009004.560356155,56,-123035925147107103
505,1741009005.082631229,194,-123035925147107103
506,1741009005.083052962,62,2340247537475360807
507,1741009005.153417319,2474,2340247537475360807
508,1741009005.153443170,56,-123035925147107103
509,1741009005.670588123,56,5517724045380047017
510,1741009005.670685765,56,-4081532457827642102
511,1741009005.670702509,56,-5674001931322297812
