,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,tls_header_encrypted,udp_length,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted
159,1740823193.984228694,1512,146.75.121.140,192.168.80.128,4,6,128,TLSv1.2,443,52104,1456,1,1906,64240,True,,,,,
160,1740823193.984228911,2849,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52104,2793,1457,1906,64240,True,,,,,
161,1740823193.984254331,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52104,443,0,1906,1457,65535,,,,,,
162,1740823193.984275647,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52104,443,0,1906,4250,65535,,,,,,
163,1740823193.985782005,120,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,64,1906,4250,65535,True,,,,,
164,1740823193.986007342,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,1970,64240,,,,,,
165,1740823193.987598862,148,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,92,1970,4250,65535,True,,,,,
166,1740823193.987789951,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,2062,64240,,,,,,
167,1740823193.987934733,367,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,311,2062,4250,65535,True,,,,,
168,1740823193.988026167,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,2373,64240,,,,,,
169,1740823193.988167639,158,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,102,2373,4250,65535,True,,,,,
170,1740823193.988265198,174,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,118,2475,4250,65535,True,,,,,
171,1740823193.988305154,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,2475,64240,,,,,,
172,1740823193.988354548,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,2593,64240,,,,,,
173,1740823193.988376508,172,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,116,2593,4250,65535,True,,,,,
174,1740823193.988459455,168,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,112,2709,4250,65535,True,,,,,
175,1740823193.988508697,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,2709,64240,,,,,,
176,1740823193.988552776,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,2821,64240,,,,,,
177,1740823193.988629624,163,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,107,2821,4250,65535,True,,,,,
178,1740823193.988693635,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,2928,64240,,,,,,
179,1740823193.988795002,170,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,114,2928,4250,65535,True,,,,,
180,1740823193.988883991,156,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,100,3042,4250,65535,True,,,,,
181,1740823193.988922244,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3042,64240,,,,,,
182,1740823193.988963518,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3142,64240,,,,,,
183,1740823193.989008109,160,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,104,3142,4250,65535,True,,,,,
184,1740823193.989090706,166,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,110,3246,4250,65535,True,,,,,
185,1740823193.989426857,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3246,64240,,,,,,
186,1740823193.989527600,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3356,64240,,,,,,
187,1740823193.989784978,2185,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2129,70129,3651,64240,True,,,,,
188,1740823193.989791990,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,72258,65535,,,,,,
189,1740823193.990162606,164,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,108,3356,4250,65535,True,,,,,
190,1740823193.990292148,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3464,64240,,,,,,
191,1740823193.990415334,153,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,97,3464,4250,65535,True,,,,,
192,1740823193.990465785,1542,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,1486,72258,3651,64240,True,,,,,
193,1740823193.990465810,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3561,64240,,,,,,
194,1740823193.990472630,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,73744,65535,,,,,,
195,1740823193.990659598,154,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52104,443,98,3561,4250,65535,True,,,,,
196,1740823193.990722567,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,4250,3659,64240,,,,,,
197,1740823193.990884679,1220,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,1164,73744,3651,64240,True,,,,,
