,timestamp,packet_length,four_tuple
8266,1740992186.909179703,62,59413444695554920
8267,1740992186.909179915,62,59413444695554920
8268,1740992186.911774006,121,59413444695554920
8269,1740992186.912484377,87,8073980214501698185
8270,1740992186.912653676,62,59413444695554920
8271,1740992186.923462741,121,6257432895151109665
8272,1740992186.924705606,87,-2654268323820219579
8273,1740992186.924913921,62,6257432895151109665
8274,1740992186.956715186,80,4176791676154037033
8275,1740992186.956752761,56,8461115641257083808
8276,1740992186.956927123,62,4176791676154037033
8277,1740992186.956935908,56,8461115641257083808
8278,1740992187.098707568,790,7913549843078753958
8279,1740992187.099097674,62,2204066085779568804
8280,1740992187.173119941,76,-3061772637988331940
8281,1740992187.178741339,76,1130161357979870457
8282,1740992187.186253601,230,7913549843078753958
8283,1740992187.186468883,225,7913549843078753958
8284,1740992187.186525723,62,2204066085779568804
8285,1740992187.186585532,62,2204066085779568804
8286,1740992187.275393732,76,2274904381424489218
8287,1740992187.312263409,62,-8617121821710749634
8288,1740992187.312295009,56,-3061772637988331940
8289,1740992187.313293207,1961,-3061772637988331940
8290,1740992187.313454024,62,-8617121821710749634
8291,1740992187.313489361,62,-8617121821710749634
8292,1740992187.316990399,76,2964697885163824045
8293,1740992187.317670054,62,-4094105077437199365
8294,1740992187.317686996,56,1130161357979870457
8295,1740992187.318028824,1961,1130161357979870457
8296,1740992187.318296100,62,-4094105077437199365
8297,1740992187.318296144,62,-4094105077437199365
8298,1740992187.320998665,76,3214292918459992379
8299,1740992187.325888320,76,4318259406261654568
8300,1740992187.330125076,62,1124356007067417078
8301,1740992187.330208965,56,2964697885163824045
8302,1740992187.330715194,1955,2964697885163824045
8303,1740992187.330997979,62,1124356007067417078
8304,1740992187.331059560,62,1124356007067417078
8305,1740992187.331326762,62,-8723976512411478598
8306,1740992187.331341927,56,3214292918459992379
8307,1740992187.332033436,1955,3214292918459992379
8308,1740992187.332280496,62,-8723976512411478598
8309,1740992187.332280678,62,-8723976512411478598
8310,1740992187.339131171,2928,2204066085779568804
8311,1740992187.339151568,56,7913549843078753958
8312,1740992187.340100016,1563,2204066085779568804
8313,1740992187.340116338,56,7913549843078753958
8314,1740992187.341821412,3546,1124356007067417078
8315,1740992187.341831755,56,2964697885163824045
8316,1740992187.344713707,3545,-8723976512411478598
8317,1740992187.344731861,56,3214292918459992379
8318,1740992187.346498266,62,-2756674132629126660
8319,1740992187.347421039,62,-2220061133731149368
8320,1740992187.352443816,4449,2204066085779568804
8321,1740992187.352462557,56,7913549843078753958
8322,1740992187.370496335,56,-4491482419184813128
8323,1740992187.371929913,56,8684840804277522585
8324,1740992187.371986459,120,2964697885163824045
8325,1740992187.372280360,62,1124356007067417078
8326,1740992187.372721417,148,2964697885163824045
8327,1740992187.372771299,680,2964697885163824045
8328,1740992187.372883950,62,1124356007067417078
8329,1740992187.372890583,1073,2964697885163824045
8330,1740992187.372954189,62,1124356007067417078
8331,1740992187.373039450,62,1124356007067417078
8332,1740992187.377188280,120,3214292918459992379
8333,1740992187.377368389,4517,2204066085779568804
8334,1740992187.377382473,56,7913549843078753958
8335,1740992187.377514953,214,1124356007067417078
8336,1740992187.377569394,62,-8723976512411478598
8337,1740992187.378828809,165,3214292918459992379
8338,1740992187.378949870,62,-8723976512411478598
8339,1740992187.380054065,168,1124356007067417078
8340,1740992187.380116555,87,2964697885163824045
8341,1740992187.380380890,62,1124356007067417078
8342,1740992187.382219601,615,7913549843078753958
8343,1740992187.382424575,62,2204066085779568804
8344,1740992187.382518431,214,-8723976512411478598
8345,1740992187.383010748,80,3214292918459992379
8346,1740992187.383055009,56,3214292918459992379
8347,1740992187.383120676,91,7913549843078753958
8348,1740992187.383150403,62,-8723976512411478598
8349,1740992187.383189307,62,-8723976512411478598
8350,1740992187.383189332,62,2204066085779568804
8351,1740992187.390689795,144,-8723976512411478598
8352,1740992187.390709667,56,3214292918459992379
8353,1740992187.414934913,62,8342704663429939851
8354,1740992187.414984195,56,2274904381424489218
8355,1740992187.415767456,1957,2274904381424489218
8356,1740992187.416019001,62,8342704663429939851
8357,1740992187.416019059,62,8342704663429939851
